    UTC     Elapsed    Sig     PLL    Freq     Dev    Rcvr
    Time      Time     Str    Volts  Center   Level   Freq
hh:mm:ss.ss   (sec)   (dbm)   (vdc)   (vdc)   (vdc)   (MHz)
-----------------------------------------------------------
10:55:38.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:55:44.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:55:50.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:55:56.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:56:02.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:56:08.88    0.00 -109.66    0.00    0.00    0.00  402.00
10:56:14.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:56:20.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:56:26.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:56:32.85    0.00 -109.66    0.00    0.00    0.00  402.00
10:56:38.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:56:44.86    0.00 -109.25    0.00    0.00    0.00  402.00
10:56:50.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:56:56.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:57:02.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:57:08.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:57:14.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:57:20.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:57:26.88    0.00 -109.66    0.00    0.00    0.00  402.00
10:57:32.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:57:38.88    0.00 -109.25    0.00    0.00    0.00  402.00
10:57:44.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:57:50.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:57:56.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:02.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:08.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:14.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:20.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:26.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:32.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:58:38.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:58:44.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:58:50.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:58:56.86    0.00 -109.25    0.00    0.00    0.00  402.00
10:59:02.88    0.00 -109.66    0.00    0.00    0.00  402.00
10:59:08.86    0.00 -109.25    0.00    0.00    0.00  402.00
10:59:14.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:59:20.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:59:26.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:59:32.86    0.00 -109.25    0.00    0.00    0.00  402.00
10:59:38.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:59:44.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:59:50.88    0.00 -109.66    0.00    0.00    0.00  402.00
10:59:56.86    0.00 -109.25    0.00    0.00    0.00  402.00
11:00:02.87    0.00 -109.66    0.00    0.00    0.00  402.00
11:00:08.87    0.00 -109.25    0.00    0.00    0.00  402.00
11:00:14.86    0.00 -109.25    0.00    0.00    0.00  402.00
11:00:20.87    0.00 -109.25    0.00    0.00    0.00  402.00
11:00:26.87    0.00 -108.84    0.00    0.00    0.00  402.00
11:00:32.87    0.00 -109.25    0.00    0.00    0.00  402.00
