    UTC     Elapsed    Sig     PLL    Freq     Dev    Rcvr
    Time      Time     Str    Volts  Center   Level   Freq
hh:mm:ss.ss   (sec)   (dbm)   (vdc)   (vdc)   (vdc)   (MHz)
-----------------------------------------------------------
14:43:23.17    0.00  -89.42    0.00    0.00    0.00  401.60
14:43:26.06    0.00  -89.42    0.00    0.00    0.00  401.60
14:43:32.06    0.00  -90.66    0.00    0.00    0.00  401.60
14:43:38.07    0.00  -74.13    0.00    0.00    0.00  401.60
14:43:44.07    0.00 -108.01    0.00    0.00    0.00  401.60
14:43:50.14    0.00  -98.92    0.00    0.00    0.00  401.60
14:43:56.07    0.00  -95.62    0.00    0.00    0.00  401.60
14:44:02.07    0.00  -95.20    0.00    0.00    0.00  401.60
14:44:08.07    0.00  -93.96    0.00    0.00    0.00  401.60
14:44:14.06    0.00  -95.20    0.00    0.00    0.00  401.60
14:44:20.07    0.00  -98.09    0.00    0.00    0.00  401.60
14:44:26.06    0.00  -95.20    0.00    0.00    0.00  401.60
14:44:32.07    0.00 -106.77    0.00    0.00    0.00  401.60
14:44:38.06    0.00 -100.16    0.00    0.00    0.00  401.60
14:44:44.07    0.00 -105.95    0.00    0.00    0.00  401.60
14:44:50.06    0.00  -95.20    0.00    0.00    0.00  401.60
14:44:56.07    0.00  -90.66    0.00    0.00    0.00  401.60
14:45:02.06    0.00  -94.79    0.00    0.00    0.00  401.60
14:45:08.07    0.00  -81.15    0.00    0.00    0.00  401.60
14:45:14.07    0.00  -81.57    0.00    0.00    0.00  401.60
14:45:20.07    0.00  -74.13    0.00    0.00    0.00  401.60
14:45:26.07    0.00 -108.84    0.00    0.00    0.00  401.60
14:45:32.08    0.00 -109.25    0.00    0.00    0.00  401.60
14:45:38.06    0.00 -109.25    0.00    0.00    0.00  401.60
14:45:44.07    0.00 -108.84    0.00    0.00    0.00  401.60
14:45:50.07    0.00 -108.84    0.00    0.00    0.00  401.60
14:45:56.07    0.00 -108.01    0.00    0.00    0.00  401.60
14:46:02.06    0.00 -108.84    0.00    0.00    0.00  401.60
14:46:08.08    0.00 -108.84    0.00    0.00    0.00  401.60
14:46:14.06    0.00 -109.25    0.00    0.00    0.00  401.60
14:46:20.07    0.00 -109.25    0.00    0.00    0.00  401.60
14:46:26.06    0.00 -108.84    0.00    0.00    0.00  401.60
14:46:32.07    0.00 -108.84    0.00    0.00    0.00  401.60
14:46:38.06    0.00 -109.25    0.00    0.00    0.00  401.60
14:46:44.07    0.00 -109.25    0.00    0.00    0.00  401.60
14:46:50.08    0.00 -108.84    0.00    0.00    0.00  401.60
14:46:56.06    0.00 -108.43    0.00    0.00    0.00  401.60
14:47:02.07    0.00 -108.84    0.00    0.00    0.00  401.60
14:47:08.06    0.00 -109.25    0.00    0.00    0.00  401.60
14:47:13.88    0.00 -108.84    0.00    0.00    0.00  401.60
14:47:20.06    0.00 -109.25    0.00    0.00    0.00  401.60
14:47:26.07    0.00 -109.25    0.00    0.00    0.00  401.60
14:47:32.06    0.00 -108.84    0.00    0.00    0.00  401.60
14:47:38.06    0.00 -108.84    0.00    0.00    0.00  401.60
14:47:44.05    0.00 -109.25    0.00    0.00    0.00  401.60
14:47:50.07    0.00 -109.66    0.00    0.00    0.00  401.60
14:47:56.06    0.00 -108.84    0.00    0.00    0.00  401.60
14:48:02.07    0.00 -109.66    0.00    0.00    0.00  401.60
