AVAPS-T08 STA 234030010 240813 174906.26
AVAPS-T08 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T08 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T08 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T08 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D08 P00 234030010 240813 174912.00  857.51  20.45   9.85 150.72 240.62   0.27  -22.253904   6.583854 99999.00  10   9.85 999.00  10  0.19 13867.89
AVAPS-D08 P10 234030010 240813 174912.25 9999.00  99.00 999.00 150.69 240.61   0.11  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174912.50  857.57  20.45   9.82 150.64 240.74   0.34  -22.254435   6.584801 99999.00  10   9.82 999.00  10  0.14 13867.91
AVAPS-D08 P10 234030010 240813 174912.75 9999.00  99.00 999.00 150.62 240.68   0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174913.00  857.37  20.45   9.87 150.60 240.69   0.18  -22.254967   6.585748 99999.00  10   9.87 999.00  10  0.15 13867.96
AVAPS-D08 P10 234030010 240813 174913.25 9999.00  99.00 999.00 150.61 240.94  -0.12  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.22 99999.00
AVAPS-D08 P00 234030010 240813 174913.50  857.64  20.45   9.84 150.54 240.77   0.22  -22.255501   6.586695 99999.00  10   9.84 999.00  10  0.15 13867.71
AVAPS-D08 P10 234030010 240813 174913.75 9999.00  99.00 999.00 150.53 240.71   0.17  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D08 P00 234030010 240813 174914.00  857.55  20.45   9.85 150.50 240.72   0.05  -22.256036   6.587641 99999.00  10   9.85 999.00  10  0.14 13867.53
AVAPS-D08 P10 234030010 240813 174914.25 9999.00  99.00 999.00 150.48 240.75   0.01  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174914.50  857.60  20.46   9.84 150.45 240.76   0.06  -22.256571   6.588586 99999.00  10   9.84 999.00  10  0.14 13867.44
AVAPS-D08 P10 234030010 240813 174914.75 9999.00  99.00 999.00 150.43 240.78   0.04  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174915.00  857.57  20.47   9.84 150.40 240.78   0.05  -22.257107   6.589530 99999.00  10   9.84 999.00  10  0.14 13867.45
AVAPS-D08 P10 234030010 240813 174915.25 9999.00  99.00 999.00 150.38 240.79   0.01  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174915.50  857.65  20.47   9.84 150.36 240.78   0.01  -22.257644   6.590475 99999.00  10   9.84 999.00  10  0.14 13867.39
AVAPS-D08 P10 234030010 240813 174915.75 9999.00  99.00 999.00 150.33 240.80   0.02  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174916.00  857.51  20.48   9.85 150.31 240.84  -0.05  -22.258182   6.591419 99999.00  10   9.85 999.00  10  0.14 13867.27
AVAPS-D08 P10 234030010 240813 174916.25 9999.00  99.00 999.00 150.28 240.83   0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174916.50  857.54  20.48   9.87 150.31 240.77  -0.00  -22.258720   6.592363 99999.00  10   9.87 999.00  10  0.15 13867.31
AVAPS-D08 P10 234030010 240813 174916.75 9999.00  99.00 999.00 150.18 241.04   0.01  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D08 P00 234030010 240813 174917.00  857.69  20.48   9.85 150.21 240.88  -0.06  -22.259260   6.593306 99999.00  10   9.85 999.00  10  0.14 13867.25
AVAPS-D08 P10 234030010 240813 174917.25 9999.00  99.00 999.00 150.19 240.86  -0.10  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P11 234030010 240813 174917.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D08 P11 234030010 240813 174917.75 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D08 P00 234030010 240813 174918.00  857.74  20.49   9.84 150.10 240.95   0.20  -22.260342   6.595192 99999.00   9   9.84 999.00   9  0.30 13867.30
AVAPS-D08 P10 234030010 240813 174918.25 9999.00  99.00 999.00 150.08 240.76   0.70  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.29 99999.00
AVAPS-D08 P00 234030010 240813 174918.50  857.57  20.50   9.84 150.09 240.73   0.06  -22.260883   6.596134 99999.00  10   9.84 999.00  10  0.33 13867.30
AVAPS-D08 P10 234030010 240813 174918.75 9999.00  99.00 999.00 150.03 240.93   0.17  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.22 99999.00
AVAPS-D08 P00 234030010 240813 174919.00  857.81  20.50   9.83 150.00 240.93   0.10  -22.261425   6.597075 99999.00  10   9.83 999.00  10  0.16 13867.17
AVAPS-D08 P10 234030010 240813 174919.25 9999.00  99.00 999.00 149.98 240.93   0.02  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D08 P00 234030010 240813 174919.50  857.69  20.50   9.83 149.96 240.97   0.05  -22.261968   6.598017 99999.00  10   9.83 999.00  10  0.15 13867.01
AVAPS-D08 P10 234030010 240813 174919.75 9999.00  99.00 999.00 149.93 240.99   0.13  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D08 P00 234030010 240813 174920.00  857.70  20.51   9.86 149.90 240.97   0.13  -22.262513   6.598958 99999.00  10   9.86 999.00  10  0.14 13866.95
AVAPS-D08 P10 234030010 240813 174920.25 9999.00  99.00 999.00 149.88 240.98   0.13  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D08 P00 234030010 240813 174920.50  857.68  20.51   9.83 149.85 241.00   0.19  -22.263058   6.599898 99999.00  10   9.83 999.00  10  0.14 13866.91
AVAPS-D08 P10 234030010 240813 174920.75 9999.00  99.00 999.00 149.82 241.01   0.20  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
