AVAPS-T06 STA 234220965 240813 173830.76
AVAPS-T06 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T06 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T06 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T06 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D06 P00 234220965 240813 173838.00  856.89  21.07  10.98 211.76 209.26  -0.18  -22.280609   5.372700 99999.00  11  10.98 999.00  11  0.14 13870.76
AVAPS-D06 P10 234220965 240813 173838.25 9999.00  99.00 999.00 211.74 209.25  -0.21  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.12 99999.00
AVAPS-D06 P00 234220965 240813 173838.50  856.68  21.07  10.98 211.71 209.28   0.16  -22.280114   5.373503 99999.00  11  10.98 999.00  11  0.13 13871.01
AVAPS-D06 P10 234220965 240813 173838.75 9999.00  99.00 999.00 211.69 209.24  -0.07  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.13 99999.00
AVAPS-D06 P00 234220965 240813 173839.00  856.79  21.08  10.95 211.68 209.21  -0.23  -22.279619   5.374306 99999.00  11  10.95 999.00  11  0.13 13871.05
AVAPS-D06 P10 234220965 240813 173839.25 9999.00  99.00 999.00 211.68 209.22  -0.65  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.13 99999.00
AVAPS-D06 P00 234220965 240813 173839.50  856.82  21.08  10.94 211.65 209.25  -0.49  -22.279125   5.375108 99999.00  11  10.94 999.00  11  0.13 13870.99
AVAPS-D06 P10 234220965 240813 173839.75 9999.00  99.00 999.00 211.62 209.27  -0.41  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.13 99999.00
AVAPS-D06 P00 234220965 240813 173840.00  857.08  21.08  10.95 211.60 209.26  -0.53  -22.278631   5.375911 99999.00  11  10.95 999.00  11  0.12 13870.68
AVAPS-D06 P10 234220965 240813 173840.25 9999.00  99.00 999.00 211.57 209.26  -0.44  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.12 99999.00
AVAPS-D06 P00 234220965 240813 173840.50  856.80  21.08  10.94 211.56 209.27  -0.60  -22.278137   5.376715 99999.00  11  10.94 999.00  11  0.12 13870.30
AVAPS-D06 P10 234220965 240813 173840.75 9999.00  99.00 999.00 211.52 209.25  -0.59  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.12 99999.00
AVAPS-D06 P00 234220965 240813 173841.00  856.64  21.09  10.94 211.51 209.29  -0.68  -22.277644   5.377519 99999.00  11  10.94 999.00  11  0.12 13869.88
AVAPS-D06 P10 234220965 240813 173841.25 9999.00  99.00 999.00 211.48 209.30  -0.69  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.12 99999.00
AVAPS-D06 P00 234220965 240813 173841.50  856.83  21.09  10.93 211.46 209.32  -0.77  -22.277151   5.378323 99999.00  11  10.93 999.00  11  0.12 13869.50
AVAPS-D06 P10 234220965 240813 173841.75 9999.00  99.00 999.00 211.43 209.31  -0.71  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.12 99999.00
AVAPS-D06 P00 234220965 240813 173842.00  857.03  21.09  10.93 211.41 209.34  -0.62  -22.276660   5.379128 99999.00  11  10.93 999.00  11  0.12 13869.13
AVAPS-D06 P10 234220965 240813 173842.25 9999.00  99.00 999.00 211.39 209.33  -0.77  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.12 99999.00
AVAPS-D06 P00 234220965 240813 173842.50  857.02  21.09  10.91 211.35 209.34  -0.69  -22.276169   5.379934 99999.00  11  10.91 999.00  11  0.12 13868.80
