AVAPS-T05 STA 234021432 240813 173228.03
AVAPS-T05 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T05 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T05 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T05 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D05 P10 234021432 240813 173235.00 9999.00  99.00 999.00 243.37 197.26  -0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173235.25  855.86  21.18  15.65 243.35 197.25   0.16  -22.764259   4.929655 99999.00  10  15.65 999.00  10  0.27 13868.14
AVAPS-D05 P10 234021432 240813 173235.50 9999.00  99.00 999.00 243.35 197.36  -0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.27 99999.00
AVAPS-D05 P00 234021432 240813 173235.75  855.69  21.18  15.66 243.30 197.42   0.10  -22.763465   4.930055 99999.00  10  15.66 999.00  10  0.15 13868.16
AVAPS-D05 P10 234021432 240813 173236.00 9999.00  99.00 999.00 243.28 197.35   0.16  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173236.25  855.71  21.19  15.65 243.26 197.32   0.16  -22.762672   4.930455 99999.00  10  15.65 999.00  10  0.14 13868.15
AVAPS-D05 P10 234021432 240813 173236.50 9999.00  99.00 999.00 243.24 197.35   0.12  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173236.75  855.92  21.19  15.63 243.23 197.31   0.21  -22.761880   4.930856 99999.00  10  15.63 999.00  10  0.43 13868.21
AVAPS-D05 P10 234021432 240813 173237.00 9999.00  99.00 999.00 243.20 197.43   0.29  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.41 99999.00
AVAPS-D05 P00 234021432 240813 173237.25  855.82  21.19  15.65 243.19 197.40   0.08  -22.761087   4.931258 99999.00  10  15.65 999.00  10  0.16 13868.38
AVAPS-D05 P10 234021432 240813 173237.50 9999.00  99.00 999.00 243.18 197.36   0.05  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173237.75  855.67  21.20  15.66 243.17 197.37   0.02  -22.760295   4.931660 99999.00  10  15.66 999.00  10  0.14 13868.39
AVAPS-D05 P10 234021432 240813 173238.00 9999.00  99.00 999.00 243.16 197.37  -0.00  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173238.25  855.63  21.20  15.65 243.14 197.34  -0.00  -22.759503   4.932062 99999.00  10  15.65 999.00  10  0.16 13868.26
AVAPS-D05 P10 234021432 240813 173238.50 9999.00  99.00 999.00 243.14 197.38  -0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173238.75  855.57  21.20  15.63 243.12 197.37  -0.01  -22.758712   4.932465 99999.00  10  15.63 999.00  10  0.14 13868.23
AVAPS-D05 P10 234021432 240813 173239.00 9999.00  99.00 999.00 243.09 197.36  -0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173239.25  855.79  21.20  15.62 243.08 197.36  -0.07  -22.757920   4.932868 99999.00  10  15.62 999.00  10  0.15 13868.15
AVAPS-D05 P10 234021432 240813 173239.50 9999.00  99.00 999.00 243.07 197.38  -0.13  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173239.75  855.67  21.21  15.65 243.05 197.38  -0.18  -22.757129   4.933271 99999.00  10  15.65 999.00  10  0.15 13867.97
AVAPS-D05 P10 234021432 240813 173240.00 9999.00  99.00 999.00 243.04 197.35  -0.26  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173240.25  855.87  21.21  15.62 243.01 197.40  -0.16  -22.756337   4.933674 99999.00  10  15.62 999.00  10  0.14 13867.89
AVAPS-D05 P10 234021432 240813 173240.50 9999.00  99.00 999.00 243.00 197.43  -0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173240.75  855.63  21.22  15.63 242.98 197.43  -0.44  -22.755546   4.934079 99999.00  10  15.63 999.00  10  0.14 13867.78
AVAPS-D05 P10 234021432 240813 173241.00 9999.00  99.00 999.00 242.95 197.43  -0.33  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173241.25  855.71  21.22  15.64 242.93 197.45  -0.47  -22.754755   4.934483 99999.00  10  15.64 999.00  10  0.14 13867.54
AVAPS-D05 P10 234021432 240813 173241.50 9999.00  99.00 999.00 242.91 197.45  -0.39  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173241.75  855.62  21.22  15.61 242.88 197.46  -0.36  -22.753965   4.934889 99999.00  10  15.61 999.00  10  0.14 13867.31
AVAPS-D05 P10 234021432 240813 173242.00 9999.00  99.00 999.00 242.86 197.47  -0.38  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173242.25  855.74  21.22  15.60 242.82 197.48  -0.23  -22.753174   4.935296 99999.00  10  15.60 999.00  10  0.16 13867.19
AVAPS-D05 P10 234021432 240813 173242.50 9999.00  99.00 999.00 242.81 197.50  -0.48  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.14 99999.00
AVAPS-D05 P00 234021432 240813 173242.75  855.80  21.23  15.62 242.78 197.50  -0.44  -22.752384   4.935703 99999.00  10  15.62 999.00  10  0.15 13866.78
AVAPS-D05 P10 234021432 240813 173243.00 9999.00  99.00 999.00 242.77 197.52  -0.41  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173243.25  855.78  21.23  15.63 242.75 197.55  -0.41  -22.751595   4.936110 99999.00  10  15.63 999.00  10  0.15 13866.35
AVAPS-D05 P10 234021432 240813 173243.50 9999.00  99.00 999.00 242.72 197.55  -0.40  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173243.75  855.74  21.23  15.62 242.69 197.55  -0.31  -22.750805   4.936519 99999.00  10  15.62 999.00  10  0.15 13865.99
AVAPS-D05 P10 234021432 240813 173244.00 9999.00  99.00 999.00 242.67 197.55  -0.30  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173244.25  855.62  21.24  15.63 242.64 197.56  -0.33  -22.750016   4.936928 99999.00  10  15.63 999.00  10  0.15 13865.73
AVAPS-D05 P10 234021432 240813 173244.50 9999.00  99.00 999.00 242.63 197.58  -0.27  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173244.75  855.83  21.24  15.60 242.60 197.60  -0.17  -22.749226   4.937338 99999.00  10  15.60 999.00  10  0.15 13865.53
AVAPS-D05 P10 234021432 240813 173245.00 9999.00  99.00 999.00 242.58 197.60  -0.21  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173245.25  855.61  21.24  15.61 242.56 197.61  -0.25  -22.748437   4.937748 99999.00  10  15.61 999.00  10  0.15 13865.35
AVAPS-D05 P10 234021432 240813 173245.50 9999.00  99.00 999.00 242.54 197.61  -0.26  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173245.75  855.77  21.25  15.63 242.52 197.64  -0.19  -22.747649   4.938159 99999.00  10  15.63 999.00  10  0.15 13865.20
AVAPS-D05 P10 234021432 240813 173246.00 9999.00  99.00 999.00 242.49 197.64  -0.23  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D05 P00 234021432 240813 173246.25  855.68  21.25  15.60 242.47 197.62  -0.27  -22.746860   4.938571 99999.00  10  15.60 999.00  10  0.15 13865.06
