    UTC     Elapsed    Sig     PLL    Freq     Dev    Rcvr
    Time      Time     Str    Volts  Center   Level   Freq
hh:mm:ss.ss   (sec)   (dbm)   (vdc)   (vdc)   (vdc)   (MHz)
-----------------------------------------------------------
10:49:48.97    0.00  -74.54    0.00    0.00    0.00  402.40
10:49:50.87    0.00 -109.25    0.00    0.00    0.00  402.40
10:49:56.87    0.00  -74.54    0.00    0.00    0.00  402.40
10:50:02.86    0.00  -91.07    0.00    0.00    0.00  402.40
10:50:08.87    0.00  -85.70    0.00    0.00    0.00  402.40
10:50:14.87    0.00  -86.94    0.00    0.00    0.00  402.40
10:50:20.86    0.00  -86.94    0.00    0.00    0.00  402.40
10:50:26.87    0.00  -86.94    0.00    0.00    0.00  402.40
10:50:32.87    0.00  -86.94    0.00    0.00    0.00  402.40
10:50:38.87    0.00  -86.52    0.00    0.00    0.00  402.40
10:50:44.87    0.00  -84.04    0.00    0.00    0.00  402.40
10:50:50.87    0.00  -84.87    0.00    0.00    0.00  402.40
10:50:56.87    0.00  -89.83    0.00    0.00    0.00  402.40
10:51:02.89    0.00  -90.24    0.00    0.00    0.00  402.40
10:51:08.87    0.00  -86.52    0.00    0.00    0.00  402.40
10:51:14.87    0.00  -86.94    0.00    0.00    0.00  402.40
10:51:20.87    0.00  -86.11    0.00    0.00    0.00  402.40
10:51:26.86    0.00  -86.11    0.00    0.00    0.00  402.40
10:51:32.88    0.00  -88.18    0.00    0.00    0.00  402.40
10:51:38.87    0.00  -87.35    0.00    0.00    0.00  402.40
10:51:44.87    0.00  -87.76    0.00    0.00    0.00  402.40
10:51:50.86    0.00  -86.52    0.00    0.00    0.00  402.40
10:51:56.87    0.00  -85.28    0.00    0.00    0.00  402.40
10:52:02.86    0.00  -84.87    0.00    0.00    0.00  402.40
10:52:08.87    0.00  -84.46    0.00    0.00    0.00  402.40
10:52:14.86    0.00  -86.11    0.00    0.00    0.00  402.40
10:52:20.87    0.00  -83.63    0.00    0.00    0.00  402.40
10:52:26.86    0.00  -83.22    0.00    0.00    0.00  402.40
10:52:32.87    0.00  -84.87    0.00    0.00    0.00  402.40
10:52:38.88    0.00  -84.87    0.00    0.00    0.00  402.40
10:52:44.86    0.00  -84.87    0.00    0.00    0.00  402.40
10:52:50.87    0.00  -84.87    0.00    0.00    0.00  402.40
10:52:56.87    0.00  -84.87    0.00    0.00    0.00  402.40
10:53:02.88    0.00  -85.70    0.00    0.00    0.00  402.40
10:53:08.87    0.00  -85.70    0.00    0.00    0.00  402.40
10:53:14.87    0.00  -85.28    0.00    0.00    0.00  402.40
10:53:20.88    0.00  -84.87    0.00    0.00    0.00  402.40
10:53:26.86    0.00  -85.28    0.00    0.00    0.00  402.40
10:53:32.87    0.00  -84.46    0.00    0.00    0.00  402.40
10:53:38.87    0.00  -85.28    0.00    0.00    0.00  402.40
10:53:44.88    0.00  -84.87    0.00    0.00    0.00  402.40
10:53:50.86    0.00  -84.46    0.00    0.00    0.00  402.40
10:53:56.87    0.00  -84.04    0.00    0.00    0.00  402.40
10:54:02.86    0.00  -85.70    0.00    0.00    0.00  402.40
10:54:08.87    0.00  -85.28    0.00    0.00    0.00  402.40
10:54:14.88    0.00  -88.18    0.00    0.00    0.00  402.40
10:54:20.87    0.00  -85.28    0.00    0.00    0.00  402.40
10:54:26.87    0.00  -85.70    0.00    0.00    0.00  402.40
